12,Not SWD,2010,4 year August,1187,705,59.4,694,58.5,98.4,48,4.0,6.8,646,54.4,91.6,11,0.9,1.6,312,26.3,148,12.5,3,0.3,19,1.6
12,Not SWD,2009,4 year August,1288,689,53.5,678,52.6,98.4,42,3.3,6.1,636,49.4,92.3,11,0.9,1.6,365,28.3,216,16.8,0,0.0,17,1.3
12,Not SWD,2008,4 year August,1181,584,49.4,564,47.8,96.6,36,3.0,6.2,528,44.7,90.4,20,1.7,3.4,372,31.5,202,17.1,0,0.0,22,1.9
12,Not SWD,2007,4 year August,1271,660,51.9,548,43.1,83.0,34,2.7,5.2,514,40.4,77.9,112,8.8,17.0,358,28.2,226,17.8,0,0.0,25,2.0
12,Not SWD,2006,4 year August,1048,626,59.7,457,43.6,73.0,21,2.0,3.4,436,41.6,69.6,169,16.1,27.0,238,22.7,147,14.0,0,0.0,37,3.5
12,Not SWD,2005,4 year August,1033,622,60.2,409,39.6,65.8,32,3.1,5.1,377,36.5,60.6,213,20.6,34.2,262,25.4,125,12.1,0,0.0,24,2.3
12,Not SWD,2012,4 year June,1294,749,57.9,727,56.2,97.1,68,5.3,9.1,659,50.9,88.0,22,1.7,2.9,359,27.7,169,13.1,2,0.2,12,0.9
12,Not SWD,2011,4 year June,1311,820,62.5,802,61.2,97.8,55,4.2,6.7,747,57.0,91.1,18,1.4,2.2,343,26.2,136,10.4,1,0.1,9,0.7
12,Not SWD,2010,4 year June,1187,638,53.7,629,53.0,98.6,48,4.0,7.5,581,48.9,91.1,9,0.8,1.4,379,31.9,148,12.5,3,0.3,19,1.6
12,Not SWD,2009,4 year June,1288,613,47.6,604,46.9,98.5,41,3.2,6.7,563,43.7,91.8,9,0.7,1.5,441,34.2,216,16.8,0,0.0,17,1.3
12,Not SWD,2008,4 year June,1181,513,43.4,508,43.0,99.0,36,3.0,7.0,472,40.0,92.0,5,0.4,1.0,443,37.5,202,17.1,0,0.0,22,1.9
12,Not SWD,2007,4 year June,1271,565,44.5,495,38.9,87.6,34,2.7,6.0,461,36.3,81.6,70,5.5,12.4,450,35.4,229,18.0,0,0.0,26,2.0
12,Not SWD,2006,4 year June,1048,594,56.7,437,41.7,73.6,21,2.0,3.5,416,39.7,70.0,157,15.0,26.4,268,25.6,149,14.2,0,0.0,37,3.5
12,Not SWD,2005,4 year June,1033,565,54.7,375,36.3,66.4,32,3.1,5.7,343,33.2,60.7,190,18.4,33.6,319,30.9,125,12.1,0,0.0,24,2.3
12,Not SWD,2004,4 year June,756,376,49.7,235,31.1,62.5,12,1.6,3.2,223,29.5,59.3,141,18.7,37.5,270,35.7,102,13.5,4,0.5,4,0.5
12,Not SWD,2003,4 year June,724,336,46.4,163,22.5,48.5,6,0.8,1.8,157,21.7,46.7,173,23.9,51.5,276,38.1,98,13.5,3,0.4,11,1.5
12,Not SWD,2002,4 year June,520,217,41.7,88,16.9,40.6,0,0.0,0.0,88,16.9,40.6,129,24.8,59.4,220,42.3,72,13.8,0,0.0,10,1.9
12,Not SWD,2001,4 year June,453,188,41.5,84,18.5,44.7,0,0.0,0.0,84,18.5,44.7,104,23.0,55.3,190,41.9,71,15.7,0,0.0,3,0.7
12,Not SWD,2011,5 year August,1311,947,72.2,914,69.7,96.5,56,4.3,5.9,858,65.4,90.6,33,2.5,3.5,105,8.0,245,18.7,1,0.1,12,0.9
12,Not SWD,2010,5 year August,1208,811,67.1,798,66.1,98.4,48,4.0,5.9,750,62.1,92.5,13,1.1,1.6,134,11.1,245,20.3,3,0.2,13,1.1
12,Not SWD,2009,5 year August,1309,806,61.6,788,60.2,97.8,43,3.3,5.3,745,56.9,92.4,18,1.4,2.2,181,13.8,300,22.9,0,0.0,20,1.5
12,Not SWD,2008,5 year August,1192,696,58.4,672,56.4,96.6,36,3.0,5.2,636,53.4,91.4,24,2.0,3.4,150,12.6,319,26.8,3,0.3,21,1.8
12,Not SWD,2007,5 year August,1276,735,57.6,591,46.3,80.4,34,2.7,4.6,557,43.7,75.8,144,11.3,19.6,152,11.9,361,28.3,0,0.0,28,2.2
12,Not SWD,2006,5 year August,1174,737,62.8,507,43.2,68.8,22,1.9,3.0,485,41.3,65.8,230,19.6,31.2,104,8.9,297,25.3,0,0.0,35,3.0
12,Not SWD,2011,5 year June,1311,936,71.4,906,69.1,96.8,56,4.3,6.0,850,64.8,90.8,30,2.3,3.2,116,8.8,245,18.7,1,0.1,12,0.9
12,Not SWD,2010,5 year June,1208,793,65.6,780,64.6,98.4,48,4.0,6.1,732,60.6,92.3,13,1.1,1.6,151,12.5,246,20.4,3,0.2,13,1.1
12,Not SWD,2009,5 year June,1309,781,59.7,764,58.4,97.8,43,3.3,5.5,721,55.1,92.3,17,1.3,2.2,206,15.7,300,22.9,0,0.0,20,1.5
12,Not SWD,2008,5 year June,1192,670,56.2,647,54.3,96.6,36,3.0,5.4,611,51.3,91.2,23,1.9,3.4,175,14.7,319,26.8,3,0.3,21,1.8
12,Not SWD,2007,5 year June,1276,724,56.7,587,46.0,81.1,34,2.7,4.7,553,43.3,76.4,137,10.7,18.9,159,12.5,365,28.6,0,0.0,28,2.2
12,Not SWD,2006,5 year June,1174,710,60.5,500,42.6,70.4,22,1.9,3.1,478,40.7,67.3,210,17.9,29.6,124,10.6,305,26.0,0,0.0,34,2.9
12,Not SWD,2005,5 year June,1073,714,66.5,442,41.2,61.9,32,3.0,4.5,410,38.2,57.4,272,25.3,38.1,115,10.7,219,20.4,1,0.1,24,2.2
12,Not SWD,2004,5 year June,818,488,59.7,278,34.0,57.0,16,2.0,3.3,262,32.0,53.7,210,25.7,43.0,135,16.5,153,18.7,4,0.5,38,4.6
12,Not SWD,2003,5 year June,724,427,59.0,195,26.9,45.7,6,0.8,1.4,189,26.1,44.3,232,32.0,54.3,142,19.6,138,19.1,3,0.4,14,1.9
12,Not SWD,2002,5 year June,520,302,58.1,105,20.2,34.8,0,0.0,0.0,105,20.2,34.8,205,39.4,67.9,109,21.0,96,18.5,2,0.4,10,1.9
12,Not SWD,2001,5 year June,453,268,59.2,99,21.9,36.9,0,0.0,0.0,99,21.9,36.9,169,37.3,63.1,74,16.3,106,23.4,0,0.0,3,0.7
12,Not SWD,2010,6 year June,1203,848,70.5,831,69.1,98.0,48,4.0,5.7,783,65.1,92.3,17,1.4,2.0,54,4.5,282,23.4,3,0.2,14,1.2
12,Not SWD,2009,6 year June,1313,840,64.0,821,62.5,97.7,43,3.3,5.1,778,59.3,92.6,19,1.4,2.3,112,8.5,336,25.6,1,0.1,21,1.6
12,Not SWD,2008,6 year June,1192,733,61.5,708,59.4,96.6,36,3.0,4.9,672,56.4,91.7,25,2.1,3.4,79,6.6,353,29.6,3,0.3,22,1.8
12,Not SWD,2007,6 year June,1272,777,61.1,617,48.5,79.4,34,2.7,4.4,583,45.8,75.0,160,12.6,20.6,60,4.7,406,31.9,1,0.1,28,2.2
12,Not SWD,2006,6 year June,1164,753,64.7,512,44.0,68.0,22,1.9,2.9,490,42.1,65.1,241,20.7,32.0,57,4.9,325,27.9,1,0.1,27,2.3
12,Not SWD,2005,6 year June,1091,764,70.0,454,41.6,59.4,32,2.9,4.2,422,38.7,55.2,310,28.4,40.6,72,6.6,228,20.9,1,0.1,25,2.3
12,Not SWD,2004,6 year June,825,530,64.2,286,34.7,54.0,16,1.9,3.0,270,32.7,50.9,244,29.6,46.0,89,10.8,184,22.3,3,0.4,14,1.7
12,Not SWD,2003,6 year June,742,472,63.6,205,27.6,43.4,6,0.8,1.3,199,26.8,42.2,267,36.0,56.6,72,9.7,168,22.6,5,0.7,25,3.4
12,Not SWD,2002,6 year June,520,323,62.1,108,20.8,33.4,0,0.0,0.0,108,20.8,33.4,223,42.9,69.0,78,15.0,106,20.4,2,0.4,10,1.9
12,Not SWD,2001,6 year June,453,291,64.2,102,22.5,35.1,0,0.0,0.0,102,22.5,35.1,190,41.9,65.3,42,9.3,114,25.2,1,0.2,3,0.7
12,SWD,2012,4 year August,395,166,42.0,87,22.0,52.4,2,0.5,1.2,85,21.5,51.2,79,20.0,47.6,153,38.7,60,15.2,12,3.0,4,1.0
12,SWD,2011,4 year August,385,146,37.9,70,18.2,47.9,2,0.5,1.4,68,17.7,46.6,76,19.7,52.1,142,36.9,68,17.7,25,6.5,3,0.8
12,SWD,2010,4 year August,361,132,36.6,64,17.7,48.5,1,0.3,0.8,63,17.5,47.7,68,18.8,51.5,131,36.3,61,16.9,33,9.1,4,1.1
12,SWD,2009,4 year August,316,100,31.6,50,15.8,50.0,0,0.0,0.0,50,15.8,50.0,50,15.8,50.0,110,34.8,78,24.7,23,7.3,5,1.6
12,SWD,2008,4 year August,367,89,24.3,53,14.4,59.6,0,0.0,0.0,53,14.4,59.6,36,9.8,40.4,170,46.3,76,20.7,25,6.8,7,1.9
12,SWD,2007,4 year August,320,82,25.6,44,13.8,53.7,0,0.0,0.0,44,13.8,53.7,38,11.9,46.3,124,38.8,79,24.7,29,9.1,5,1.6
12,SWD,2006,4 year August,297,85,28.6,33,11.1,38.8,0,0.0,0.0,33,11.1,38.8,52,17.5,61.2,112,37.7,56,18.9,35,11.8,8,2.7
12,SWD,2005,4 year August,268,72,26.9,28,10.4,38.9,2,0.7,2.8,26,9.7,36.1,44,16.4,61.1,107,39.9,55,20.5,30,11.2,4,1.5
12,SWD,2012,4 year June,395,155,39.2,85,21.5,54.8,2,0.5,1.3,83,21.0,53.5,70,17.7,45.2,164,41.5,60,15.2,12,3.0,4,1.0
12,SWD,2011,4 year June,385,126,32.7,66,17.1,52.4,2,0.5,1.6,64,16.6,50.8,60,15.6,47.6,162,42.1,68,17.7,25,6.5,3,0.8
12,SWD,2010,4 year June,361,123,34.1,61,16.9,49.6,1,0.3,0.8,60,16.6,48.8,62,17.2,50.4,140,38.8,61,16.9,33,9.1,4,1.1
12,SWD,2009,4 year June,316,82,25.9,45,14.2,54.9,0,0.0,0.0,45,14.2,54.9,37,11.7,45.1,125,39.6,78,24.7,26,8.2,5,1.6
12,SWD,2008,4 year June,367,82,22.3,50,13.6,61.0,0,0.0,0.0,50,13.6,61.0,32,8.7,39.0,176,48.0,76,20.7,26,7.1,7,1.9
12,SWD,2007,4 year June,320,70,21.9,38,11.9,54.3,0,0.0,0.0,38,11.9,54.3,32,10.0,45.7,134,41.9,80,25.0,30,9.4,4,1.3
12,SWD,2006,4 year June,297,76,25.6,31,10.4,40.8,0,0.0,0.0,31,10.4,40.8,45,15.2,59.2,121,40.7,56,18.9,35,11.8,8,2.7
12,SWD,2005,4 year June,268,67,25.0,26,9.7,38.8,2,0.7,3.0,24,9.0,35.8,41,15.3,61.2,112,41.8,55,20.5,30,11.2,4,1.5
12,SWD,2004,4 year June,187,32,17.1,5,2.7,15.6,1,0.5,3.1,4,2.1,12.5,27,14.4,84.4,86,46.0,43,23.0,26,13.9,0,0.0
12,SWD,2003,4 year June,190,23,12.1,7,3.7,30.4,1,0.5,4.3,6,3.2,26.1,16,8.4,69.6,110,57.9,37,19.5,18,9.5,2,1.1
12,SWD,2002,4 year June,132,15,11.4,2,1.5,13.3,0,0.0,0.0,2,1.5,13.3,13,9.8,86.7,53,40.2,39,29.5,23,17.4,2,1.5
12,SWD,2001,4 year June,147,22,15.0,5,3.4,22.7,0,0.0,0.0,5,3.4,22.7,17,11.6,77.3,40,27.2,46,31.3,39,26.5,0,0.0
12,SWD,2011,5 year August,383,161,42.0,74,19.3,46.0,2,0.5,1.2,72,18.8,44.7,87,22.7,54.0,64,16.7,102,26.6,54,14.1,2,0.5
12,SWD,2010,5 year August,365,166,45.5,76,20.8,45.8,1,0.3,0.6,75,20.5,45.2,90,24.7,54.2,71,19.5,78,21.4,43,11.8,6,1.6
12,SWD,2009,5 year August,322,124,38.5,57,17.7,46.0,0,0.0,0.0,57,17.7,46.0,67,20.8,54.0,65,20.2,95,29.5,33,10.2,5,1.6
12,SWD,2008,5 year August,335,104,31.0,56,16.7,53.8,0,0.0,0.0,56,16.7,53.8,48,14.3,46.2,82,24.5,90,26.9,54,16.1,5,1.5
12,SWD,2007,5 year August,319,96,30.1,47,14.7,49.0,0,0.0,0.0,47,14.7,49.0,49,15.4,51.0,55,17.2,113,35.4,52,16.3,2,0.6
12,SWD,2006,5 year August,363,104,28.7,35,9.6,33.7,0,0.0,0.0,35,9.6,33.7,69,19.0,66.3,73,20.1,93,25.6,86,23.7,6,1.7
12,SWD,2011,5 year June,383,161,42.0,74,19.3,46.0,2,0.5,1.2,72,18.8,44.7,87,22.7,54.0,64,16.7,102,26.6,54,14.1,2,0.5
12,SWD,2010,5 year June,365,161,44.1,74,20.3,46.0,1,0.3,0.6,73,20.0,45.3,87,23.8,54.0,76,20.8,78,21.4,43,11.8,6,1.6
12,SWD,2009,5 year June,322,124,38.5,57,17.7,46.0,0,0.0,0.0,57,17.7,46.0,67,20.8,54.0,65,20.2,95,29.5,33,10.2,5,1.6
12,SWD,2008,5 year June,335,102,30.4,56,16.7,54.9,0,0.0,0.0,56,16.7,54.9,46,13.7,45.1,84,25.1,90,26.9,54,16.1,5,1.5
12,SWD,2007,5 year June,319,94,29.5,47,14.7,50.0,0,0.0,0.0,47,14.7,50.0,47,14.7,50.0,55,17.2,113,35.4,54,16.9,2,0.6
12,SWD,2006,5 year June,363,98,27.0,35,9.6,35.7,0,0.0,0.0,35,9.6,35.7,63,17.4,64.3,77,21.2,95,26.2,86,23.7,6,1.7
12,SWD,2005,5 year June,262,93,35.5,36,13.7,38.7,2,0.8,2.2,34,13.0,36.6,57,21.8,61.3,33,12.6,72,27.5,56,21.4,8,3.1
12,SWD,2004,5 year June,174,46,26.4,8,4.6,17.4,1,0.6,2.2,7,4.0,15.2,38,21.8,82.6,39,22.4,50,28.7,35,20.1,4,2.3
12,SWD,2003,5 year June,190,38,20.0,10,5.3,26.3,1,0.5,2.6,9,4.7,23.7,28,14.7,73.7,44,23.2,63,33.2,43,22.6,2,1.1
12,SWD,2002,5 year June,132,18,13.6,3,2.3,16.7,0,0.0,0.0,3,2.3,16.7,15,11.4,83.3,33,25.0,41,31.1,38,28.8,2,1.5
12,SWD,2001,5 year June,147,24,16.3,5,3.4,20.8,0,0.0,0.0,5,3.4,20.8,19,12.9,79.2,12,8.2,52,35.4,59,40.1,0,0.0
12,SWD,2010,6 year June,369,172,46.6,80,21.7,46.5,1,0.3,0.6,79,21.4,45.9,92,24.9,53.5,58,15.7,90,24.4,43,11.7,6,1.6
12,SWD,2009,6 year June,324,133,41.0,60,18.5,45.1,0,0.0,0.0,60,18.5,45.1,73,22.5,54.9,43,13.3,106,32.7,35,10.8,6,1.9
12,SWD,2008,6 year June,342,114,33.3,60,17.5,52.6,0,0.0,0.0,60,17.5,52.6,54,15.8,47.4,52,15.2,104,30.4,69,20.2,3,0.9
12,SWD,2007,6 year June,302,99,32.8,48,15.9,48.5,0,0.0,0.0,48,15.9,48.5,51,16.9,51.5,30,9.9,115,38.1,55,18.2,2,0.7
12,SWD,2006,6 year June,318,108,34.0,36,11.3,33.3,0,0.0,0.0,36,11.3,33.3,72,22.6,66.7,23,7.2,104,32.7,72,22.6,9,2.8
12,SWD,2005,6 year June,260,99,38.1,37,14.2,37.4,2,0.8,2.0,35,13.5,35.4,62,23.8,62.6,18,6.9,75,28.8,61,23.5,7,2.7
12,SWD,2004,6 year June,169,50,29.6,8,4.7,16.0,1,0.6,2.0,7,4.1,14.0,42,24.9,84.0,28,16.6,50,29.6,39,23.1,1,0.6
12,SWD,2003,6 year June,183,48,26.2,11,6.0,22.9,1,0.5,2.1,10,5.5,20.8,37,20.2,77.1,22,12.0,62,33.9,48,26.2,3,1.6
12,SWD,2002,6 year June,132,24,18.2,4,3.0,16.7,0,0.0,0.0,4,3.0,16.7,20,15.2,83.3,14,10.6,48,36.4,44,33.3,2,1.5
12,SWD,2001,6 year June,147,24,16.3,5,3.4,20.8,0,0.0,0.0,5,3.4,20.8,19,12.9,79.2,7,4.8,54,36.7,62,42.2,0,0.0
13,Not SWD,2012,4 year August,2669,2315,86.7,2294,85.9,99.1,1261,47.2,54.5,1033,38.7,44.6,21,0.8,0.9,259,9.7,84,3.1,0,0.0,10,0.4
13,Not SWD,2011,4 year August,2660,2250,84.6,2242,84.3,99.6,1308,49.2,58.1,934,35.1,41.5,8,0.3,0.4,302,11.4,100,3.8,0,0.0,8,0.3
13,Not SWD,2010,4 year August,2685,2305,85.8,2292,85.4,99.4,1283,47.8,55.7,1009,37.6,43.8,13,0.5,0.6,295,11.0,77,2.9,0,0.0,8,0.3
13,Not SWD,2009,4 year August,2823,2343,83.0,2333,82.6,99.6,1266,44.8,54.0,1067,37.8,45.5,10,0.4,0.4,332,11.8,131,4.6,0,0.0,17,0.6
13,Not SWD,2008,4 year August,2573,2130,82.8,2123,82.5,99.7,1208,46.9,56.7,915,35.6,43.0,7,0.3,0.3,307,11.9,118,4.6,0,0.0,16,0.6
13,Not SWD,2007,4 year August,2504,2077,82.9,1963,78.4,94.5,1140,45.5,54.9,823,32.9,39.6,114,4.6,5.5,308,12.3,103,4.1,0,0.0,15,0.6
13,Not SWD,2006,4 year August,2593,2154,83.1,1945,75.0,90.3,1146,44.2,53.2,799,30.8,37.1,209,8.1,9.7,313,12.1,103,4.0,0,0.0,23,0.9
13,Not SWD,2005,4 year August,2403,1988,82.7,1742,72.5,87.6,1081,45.0,54.4,661,27.5,33.2,246,10.2,12.4,325,13.5,70,2.9,1,0.0,19,0.8
13,Not SWD,2012,4 year June,2669,2240,83.9,2223,83.3,99.2,1255,47.0,56.0,968,36.3,43.2,17,0.6,0.8,333,12.5,84,3.1,0,0.0,10,0.4
13,Not SWD,2011,4 year June,2660,2172,81.7,2165,81.4,99.7,1287,48.4,59.3,878,33.0,40.4,7,0.3,0.3,380,14.3,100,3.8,0,0.0,8,0.3
13,Not SWD,2010,4 year June,2685,2183,81.3,2170,80.8,99.4,1258,46.9,57.6,912,34.0,41.8,13,0.5,0.6,417,15.5,77,2.9,0,0.0,8,0.3
13,Not SWD,2009,4 year June,2823,2230,79.0,2223,78.7,99.7,1254,44.4,56.2,969,34.3,43.5,7,0.2,0.3,445,15.8,131,4.6,0,0.0,17,0.6
13,Not SWD,2008,4 year June,2573,2008,78.0,2002,77.8,99.7,1181,45.9,58.8,821,31.9,40.9,6,0.2,0.3,426,16.6,121,4.7,0,0.0,16,0.6
13,Not SWD,2007,4 year June,2504,1952,78.0,1865,74.5,95.5,1110,44.3,56.9,755,30.2,38.7,87,3.5,4.5,433,17.3,104,4.2,0,0.0,14,0.6
13,Not SWD,2006,4 year June,2593,2041,78.7,1860,71.7,91.1,1127,43.5,55.2,733,28.3,35.9,181,7.0,8.9,425,16.4,104,4.0,0,0.0,23,0.9
13,Not SWD,2005,4 year June,2403,1873,77.9,1663,69.2,88.8,1057,44.0,56.4,606,25.2,32.4,210,8.7,11.2,440,18.3,70,2.9,1,0.0,19,0.8
13,Not SWD,2004,4 year June,2197,1787,81.3,1566,71.3,87.6,1069,48.7,59.8,497,22.6,27.8,221,10.1,12.4,324,14.7,72,3.3,5,0.2,9,0.4
13,Not SWD,2003,4 year June,1928,1505,78.1,1317,68.3,87.5,852,44.2,56.6,465,24.1,30.9,188,9.8,12.5,318,16.5,94,4.9,2,0.1,7,0.4
13,Not SWD,2002,4 year June,1808,1427,78.9,1244,68.8,87.2,820,45.4,57.5,424,23.5,29.7,185,10.2,13.0,277,15.3,84,4.6,1,0.1,16,0.9
13,Not SWD,2001,4 year June,1533,1225,79.9,1053,68.7,86.0,719,46.9,58.7,334,21.8,27.3,172,11.2,14.0,241,15.7,65,4.2,0,0.0,2,0.1
13,Not SWD,2011,5 year August,2683,2383,88.8,2367,88.2,99.3,1311,48.9,55.0,1056,39.4,44.3,16,0.6,0.7,120,4.5,166,6.2,0,0.0,10,0.4
13,Not SWD,2010,5 year August,2647,2403,90.8,2388,90.2,99.4,1286,48.6,53.5,1102,41.6,45.9,15,0.6,0.6,110,4.2,124,4.7,2,0.1,7,0.3
13,Not SWD,2009,5 year August,2841,2440,85.9,2424,85.3,99.3,1268,44.6,52.0,1156,40.7,47.4,16,0.6,0.7,167,5.9,211,7.4,0,0.0,23,0.8
13,Not SWD,2008,5 year August,2589,2241,86.6,2226,86.0,99.3,1216,47.0,54.3,1010,39.0,45.1,15,0.6,0.7,123,4.8,203,7.8,1,0.0,20,0.8
13,Not SWD,2007,5 year August,2520,2186,86.7,2027,80.4,92.7,1144,45.4,52.3,883,35.0,40.4,159,6.3,7.3,108,4.3,204,8.1,0,0.0,20,0.8
13,Not SWD,2006,5 year August,2639,2275,86.2,2003,75.9,88.0,1153,43.7,50.7,850,32.2,37.4,272,10.3,12.0,124,4.7,205,7.8,0,0.0,34,1.3
13,Not SWD,2011,5 year June,2683,2368,88.3,2354,87.7,99.4,1311,48.9,55.4,1043,38.9,44.0,14,0.5,0.6,133,5.0,167,6.2,0,0.0,10,0.4
13,Not SWD,2010,5 year June,2647,2392,90.4,2379,89.9,99.5,1286,48.6,53.8,1093,41.3,45.7,13,0.5,0.5,120,4.5,125,4.7,2,0.1,7,0.3
13,Not SWD,2009,5 year June,2841,2426,85.4,2411,84.9,99.4,1268,44.6,52.3,1143,40.2,47.1,15,0.5,0.6,181,6.4,211,7.4,0,0.0,23,0.8
13,Not SWD,2008,5 year June,2589,2225,85.9,2212,85.4,99.4,1214,46.9,54.6,998,38.5,44.9,13,0.5,0.6,139,5.4,203,7.8,1,0.0,20,0.8
13,Not SWD,2007,5 year June,2520,2175,86.3,2019,80.1,92.8,1144,45.4,52.6,875,34.7,40.2,156,6.2,7.2,117,4.6,206,8.2,0,0.0,20,0.8
13,Not SWD,2006,5 year June,2639,2261,85.7,1999,75.7,88.4,1153,43.7,51.0,846,32.1,37.4,262,9.9,11.6,134,5.1,209,7.9,0,0.0,34,1.3
13,Not SWD,2005,5 year June,2421,2095,86.5,1794,74.1,85.6,1097,45.3,52.4,697,28.8,33.3,301,12.4,14.4,138,5.7,152,6.3,2,0.1,33,1.4
13,Not SWD,2004,5 year June,2241,1937,86.4,1633,72.9,84.3,1087,48.5,56.1,546,24.4,28.2,304,13.6,15.7,123,5.5,132,5.9,4,0.2,44,2.0
13,Not SWD,2003,5 year June,1928,1661,86.2,1400,72.6,84.3,873,45.3,52.6,527,27.3,31.7,261,13.5,15.7,104,5.4,147,7.6,2,0.1,12,0.6
13,Not SWD,2002,5 year June,1808,1533,84.8,1299,71.8,84.7,841,46.5,54.9,458,25.3,29.9,242,13.4,15.8,137,7.6,111,6.1,8,0.4,16,0.9
13,Not SWD,2001,5 year June,1533,1340,87.4,1113,72.6,83.1,737,48.1,55.0,376,24.5,28.1,228,14.9,17.0,80,5.2,110,7.2,0,0.0,2,0.1
13,Not SWD,2010,6 year June,2657,2437,91.7,2420,91.1,99.3,1286,48.4,52.8,1134,42.7,46.5,17,0.6,0.7,62,2.3,146,5.5,2,0.1,8,0.3
13,Not SWD,2009,6 year June,2844,2495,87.7,2478,87.1,99.3,1268,44.6,50.8,1210,42.5,48.5,17,0.6,0.7,96,3.4,226,7.9,0,0.0,27,0.9
13,Not SWD,2008,6 year June,2600,2288,88.0,2271,87.3,99.3,1216,46.8,53.1,1055,40.6,46.1,17,0.7,0.7,67,2.6,222,8.5,1,0.0,21,0.8
13,Not SWD,2007,6 year June,2536,2235,88.1,2054,81.0,91.9,1144,45.1,51.2,910,35.9,40.7,181,7.1,8.1,40,1.6,239,9.4,0,0.0,21,0.8
13,Not SWD,2006,6 year June,2637,2316,87.8,2019,76.6,87.2,1153,43.7,49.8,866,32.8,37.4,297,11.3,12.8,63,2.4,222,8.4,0,0.0,36,1.4
13,Not SWD,2005,6 year June,2423,2159,89.1,1809,74.7,83.8,1097,45.3,50.8,712,29.4,33.0,350,14.4,16.2,65,2.7,166,6.9,2,0.1,30,1.2
13,Not SWD,2004,6 year June,2264,2011,88.8,1655,73.1,82.3,1087,48.0,54.1,568,25.1,28.2,356,15.7,17.7,70,3.1,155,6.8,3,0.1,20,0.9
13,Not SWD,2003,6 year June,1933,1699,87.9,1412,73.0,83.1,873,45.2,51.4,539,27.9,31.7,287,14.8,16.9,45,2.3,160,8.3,5,0.3,22,1.1
13,Not SWD,2002,6 year June,1808,1583,87.6,1312,72.6,82.9,842,46.6,53.2,470,26.0,29.7,279,15.4,17.6,63,3.5,134,7.4,9,0.5,16,0.9
13,Not SWD,2001,6 year June,1533,1354,88.3,1118,72.9,82.6,739,48.2,54.6,379,24.7,28.0,237,15.5,17.5,42,2.7,132,8.6,2,0.1,2,0.1
13,SWD,2012,4 year August,272,141,51.8,61,22.4,43.3,11,4.0,7.8,50,18.4,35.5,80,29.4,56.7,92,33.8,32,11.8,5,1.8,1,0.4
13,SWD,2011,4 year August,263,119,45.2,60,22.8,50.4,9,3.4,7.6,51,19.4,42.9,59,22.4,49.6,108,41.1,31,11.8,3,1.1,2,0.8
13,SWD,2010,4 year August,259,112,43.2,51,19.7,45.5,11,4.2,9.8,40,15.4,35.7,61,23.6,54.5,106,40.9,34,13.1,4,1.5,3,1.2
13,SWD,2009,4 year August,217,89,41.0,45,20.7,50.6,9,4.1,10.1,36,16.6,40.4,44,20.3,49.4,86,39.6,33,15.2,6,2.8,3,1.4
13,SWD,2008,4 year August,246,84,34.1,32,13.0,38.1,3,1.2,3.6,29,11.8,34.5,52,21.1,61.9,112,45.5,35,14.2,8,3.3,6,2.4
13,SWD,2007,4 year August,222,58,26.1,30,13.5,51.7,11,5.0,19.0,19,8.6,32.8,28,12.6,48.3,118,53.2,33,14.9,9,4.1,3,1.4
13,SWD,2006,4 year August,250,76,30.4,27,10.8,35.5,7,2.8,9.2,20,8.0,26.3,49,19.6,64.5,92,36.8,37,14.8,36,14.4,8,3.2
13,SWD,2005,4 year August,187,53,28.3,25,13.4,47.2,10,5.3,18.9,15,8.0,28.3,28,15.0,52.8,71,38.0,33,17.6,25,13.4,5,2.7
13,SWD,2012,4 year June,272,129,47.4,57,21.0,44.2,11,4.0,8.5,46,16.9,35.7,72,26.5,55.8,104,38.2,32,11.8,5,1.8,1,0.4
13,SWD,2011,4 year June,263,106,40.3,59,22.4,55.7,9,3.4,8.5,50,19.0,47.2,47,17.9,44.3,121,46.0,31,11.8,3,1.1,2,0.8
13,SWD,2010,4 year June,259,94,36.3,46,17.8,48.9,11,4.2,11.7,35,13.5,37.2,48,18.5,51.1,124,47.9,34,13.1,4,1.5,3,1.2
13,SWD,2009,4 year June,217,77,35.5,40,18.4,51.9,8,3.7,10.4,32,14.7,41.6,37,17.1,48.1,98,45.2,33,15.2,6,2.8,3,1.4
13,SWD,2008,4 year June,246,68,27.6,29,11.8,42.6,3,1.2,4.4,26,10.6,38.2,39,15.9,57.4,127,51.6,35,14.2,9,3.7,6,2.4
13,SWD,2007,4 year June,222,50,22.5,29,13.1,58.0,11,5.0,22.0,18,8.1,36.0,21,9.5,42.0,126,56.8,33,14.9,9,4.1,3,1.4
13,SWD,2006,4 year June,250,64,25.6,25,10.0,39.1,6,2.4,9.4,19,7.6,29.7,39,15.6,60.9,103,41.2,38,15.2,36,14.4,8,3.2
13,SWD,2005,4 year June,187,51,27.3,24,12.8,47.1,10,5.3,19.6,14,7.5,27.5,27,14.4,52.9,73,39.0,33,17.6,25,13.4,5,2.7
13,SWD,2004,4 year June,161,26,16.1,13,8.1,50.0,4,2.5,15.4,9,5.6,34.6,13,8.1,50.0,72,44.7,22,13.7,40,24.8,1,0.6
13,SWD,2003,4 year June,135,19,14.1,10,7.4,52.6,4,3.0,21.1,6,4.4,31.6,9,6.7,47.4,66,48.9,24,17.8,26,19.3,0,0.0
13,SWD,2002,4 year June,100,19,19.0,7,7.0,36.8,1,1.0,5.3,6,6.0,31.6,12,12.0,63.2,34,34.0,21,21.0,24,24.0,1,1.0
